family,lookback,hold_bars,tp,sl,trades,train_trades,test_trades,wins,win_rate,gross_return_pct,train_return_pct,test_return_pct,avg_return_pct,max_drawdown_pct,sharpe_like
trend_pullback,40,24,0.006,0.0045,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trend_pullback,60,30,0.008,0.0050,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
breakout,80,36,0.012,0.0065,99,45,54,40,0.4040,-8.6784,-4.3217,-4.3567,-0.0877,15.2344,-0.0997
breakout,60,30,0.009,0.0055,125,58,67,51,0.4080,-13.0696,-0.4316,-12.6380,-0.1046,17.6494,-0.1472
long_only_trend,60,36,0.012,0.0065,71,40,31,24,0.3380,-13.5689,-3.2589,-10.3100,-0.1911,15.6798,-0.2187
long_only_trend,45,30,0.009,0.0050,97,52,45,33,0.3402,-17.5945,-8.3097,-9.2849,-0.1814,18.1999,-0.2757
pullback,80,36,0.010,0.0065,129,60,69,52,0.4031,-17.7933,-13.2647,-4.5286,-0.1379,21.2344,-0.1770
long_only_trend,30,24,0.006,0.0035,136,69,67,42,0.3088,-29.5714,-13.6980,-15.8734,-0.2174,30.0114,-0.4979
pullback,50,30,0.007,0.0050,167,80,87,66,0.3952,-29.9705,-14.9440,-15.0265,-0.1795,30.9429,-0.3056
pullback,30,24,0.005,0.0040,226,107,119,99,0.4381,-36.8019,-20.2249,-16.5770,-0.1628,37.0912,-0.3642
breakout,40,30,0.006,0.0045,160,74,86,55,0.3438,-39.6277,-18.7970,-20.8307,-0.2477,40.7906,-0.4945
mean_reversion,60,24,0.0060,0.0045,283,133,150,111,0.3922,-54.8638,-20.4706,-34.3933,-0.1939,55.0827,-0.3796
breakout,20,18,0.004,0.0030,269,130,139,95,0.3532,-56.8010,-29.2058,-27.5952,-0.2112,58.0036,-0.6315
mean_reversion,30,18,0.0035,0.0028,364,181,183,161,0.4423,-57.3665,-27.2942,-30.0724,-0.1576,57.9569,-0.5050
mean_reversion,45,24,0.0045,0.0035,296,144,152,111,0.3750,-61.9460,-30.1244,-31.8215,-0.2093,62.0845,-0.5392
