family,interval,lookback,hold_bars,tp,sl,trades,train_trades,test_trades,wins,win_rate,gross_return_pct,train_return_pct,test_return_pct,avg_return_pct,max_drawdown_pct,sharpe_like
trend_pullback,1m,40,24,0.006,0.0045,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trend_pullback,1m,60,30,0.008,0.0050,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trend_pullback,5m,40,24,0.006,0.0045,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trend_pullback,5m,60,30,0.008,0.0050,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trend_pullback,15m,40,24,0.006,0.0045,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trend_pullback,15m,60,30,0.008,0.0050,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
breakout,15m,80,36,0.012,0.0065,91,39,52,35,0.3846,-10.3314,-4.4804,-5.8509,-0.1135,13.6643,-0.1272
long_only_trend,1m,60,36,0.012,0.0065,76,43,33,27,0.3553,-11.2727,1.7111,-12.9838,-0.1483,15.9569,-0.1683
pullback,1m,80,36,0.010,0.0065,137,64,73,59,0.4307,-12.6601,-8.2387,-4.4214,-0.0924,16.1630,-0.1171
breakout,5m,80,36,0.012,0.0065,99,44,55,35,0.3535,-13.8060,-11.4314,-2.3746,-0.1395,14.7055,-0.1572
long_only_trend,15m,60,36,0.012,0.0065,84,40,44,29,0.3452,-14.9469,-10.2000,-4.7469,-0.1779,19.5130,-0.2027
long_only_trend,1m,45,30,0.009,0.0050,104,54,50,37,0.3558,-16.4015,-6.2400,-10.1615,-0.1577,17.0156,-0.2366
breakout,1m,80,36,0.012,0.0065,103,50,53,37,0.3592,-16.4572,-6.0045,-10.4527,-0.1598,17.9347,-0.1842
long_only_trend,5m,60,36,0.012,0.0065,73,34,39,24,0.3288,-16.8066,-8.5997,-8.2070,-0.2302,18.7454,-0.2787
pullback,15m,80,36,0.010,0.0065,96,46,50,35,0.3646,-19.7594,-9.0889,-10.6705,-0.2058,20.4548,-0.2575
long_only_trend,15m,45,30,0.009,0.0050,96,50,46,31,0.3229,-20.6392,-15.4792,-5.1600,-0.2150,20.8792,-0.3301
breakout,1m,60,30,0.009,0.0055,134,64,70,49,0.3657,-22.3751,-5.9448,-16.4303,-0.1670,24.0209,-0.2395
breakout,15m,60,30,0.009,0.0055,113,56,57,39,0.3451,-24.0368,-10.6370,-13.3998,-0.2127,24.7768,-0.3088
long_only_trend,5m,45,30,0.009,0.0050,101,53,48,31,0.3069,-24.7109,-13.3707,-11.3403,-0.2447,24.8709,-0.3946
breakout,5m,60,30,0.009,0.0055,115,54,61,37,0.3217,-26.2226,-13.5563,-12.6663,-0.2280,26.2226,-0.3386
pullback,5m,80,36,0.010,0.0065,101,51,50,32,0.3168,-28.8780,-10.3735,-18.5045,-0.2859,32.6782,-0.3879
long_only_trend,1m,30,24,0.006,0.0035,144,72,72,45,0.3125,-30.4434,-13.9200,-16.5234,-0.2114,30.4434,-0.4794
pullback,1m,50,30,0.007,0.0050,175,87,88,70,0.4000,-30.4480,-15.9566,-14.4915,-0.1740,30.7604,-0.2957
long_only_trend,5m,30,24,0.006,0.0035,136,72,64,39,0.2868,-31.6927,-16.2867,-15.4060,-0.2330,32.2100,-0.5424
breakout,5m,40,30,0.006,0.0045,160,77,83,59,0.3688,-33.2834,-16.9307,-16.3527,-0.2080,33.2834,-0.4120
long_only_trend,15m,30,24,0.006,0.0035,127,68,59,32,0.2520,-34.0200,-17.2300,-16.7900,-0.2679,34.0200,-0.6476
pullback,15m,50,30,0.007,0.0050,125,60,65,40,0.3200,-34.3241,-19.1281,-15.1960,-0.2746,35.3742,-0.4881
pullback,5m,50,30,0.007,0.0050,140,81,59,47,0.3357,-35.0066,-19.3685,-15.6381,-0.2500,36.1494,-0.4490
pullback,5m,30,24,0.005,0.0040,184,99,85,73,0.3967,-35.7220,-10.7031,-25.0189,-0.1941,36.8356,-0.4418
breakout,15m,40,30,0.006,0.0045,141,69,72,45,0.3191,-38.6214,-14.7215,-23.8999,-0.2739,38.6214,-0.5574
pullback,1m,30,24,0.005,0.0040,241,111,130,105,0.4357,-40.0556,-23.3674,-16.6882,-0.1662,40.3301,-0.3727
breakout,1m,40,30,0.006,0.0045,172,82,90,58,0.3372,-43.7896,-18.4121,-25.3775,-0.2546,43.7896,-0.5109
pullback,15m,30,24,0.005,0.0040,181,90,91,56,0.3094,-50.5068,-27.5262,-22.9806,-0.2790,50.5068,-0.6693
breakout,5m,20,18,0.004,0.0030,231,112,119,72,0.3117,-55.3514,-28.7678,-26.5837,-0.2396,55.3514,-0.7381
breakout,15m,20,18,0.004,0.0030,199,105,94,47,0.2362,-58.5567,-33.5597,-24.9970,-0.2943,58.5567,-0.9867
