Strategy,Symbol,Trades,Wins,Losses,WinRate,TotalPnL%,AvgPnL%,MaxDD%,Sharpe,Best%,Worst%
TrendFollowingStrategy,ETHUSDT,13,10,3,0.7692,13.3773,0.9769,1.1000,0.8251,1.6000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,10,3,0.7692,13.3773,0.9769,1.1000,0.8251,1.6000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,10,3,0.7692,13.3773,0.9769,1.1000,0.8251,1.6000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,9.0707,0.6769,0.8000,0.5570,1.6000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,9.0707,0.6769,0.8000,0.5570,1.6000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,9.0707,0.6769,0.8000,0.5570,1.6000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,10,3,0.7692,6.8569,0.5154,1.1000,0.5596,1.0000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,10,3,0.7692,6.8569,0.5154,1.1000,0.5596,1.0000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,10,3,0.7692,6.8569,0.5154,1.1000,0.5596,1.0000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,6,7,0.4615,5.4549,0.4154,1.7892,0.3639,1.6000,-0.6000
TrendFollowingStrategy,ETHUSDT,13,6,7,0.4615,5.4549,0.4154,1.7892,0.3639,1.6000,-0.6000
TrendFollowingStrategy,ETHUSDT,13,6,7,0.4615,5.4549,0.4154,1.7892,0.3639,1.6000,-0.6000
TrendFollowingStrategy,ETHUSDT,13,11,2,0.8462,4.4649,0.3385,1.1000,0.5302,0.6000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,11,2,0.8462,4.4649,0.3385,1.1000,0.5302,0.6000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,11,2,0.8462,4.4649,0.3385,1.1000,0.5302,0.6000,-1.1000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,4.0382,1.0000,0.8000,0.8333,1.6000,-0.8000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,4.0382,1.0000,0.8000,0.8333,1.6000,-0.8000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,4.0382,1.0000,0.8000,0.8333,1.6000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,4.0230,0.3077,0.8000,0.3376,1.0000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,4.0230,0.3077,0.8000,0.3376,1.0000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,4.0230,0.3077,0.8000,0.3376,1.0000,-0.8000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,3.9786,0.3077,3.1618,0.2471,1.6000,-0.8000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,3.9786,0.3077,3.1618,0.2471,1.6000,-0.8000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,3.9786,0.3077,3.1618,0.2471,1.6000,-0.8000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,3.7236,0.9250,1.1000,0.6852,1.6000,-1.1000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,3.7236,0.9250,1.1000,0.6852,1.6000,-1.1000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,3.7236,0.9250,1.1000,0.6852,1.6000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,10,5,0.6667,3.5811,0.2396,4.3279,0.2379,1.0000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,10,5,0.6667,3.5811,0.2396,4.3279,0.2379,1.0000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,10,5,0.6667,3.5811,0.2396,4.3279,0.2379,1.0000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,8,7,0.5333,3.5230,0.2396,5.3803,0.1774,1.6000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,8,7,0.5333,3.5230,0.2396,5.3803,0.1774,1.6000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,8,7,0.5333,3.5230,0.2396,5.3803,0.1774,1.6000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,7,6,0.5385,3.4113,0.2615,1.7892,0.3150,1.0000,-0.6000
